institutioncode	museum_location	scientificname	collector	year	locality	uniquekey	
UCBG     	29	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Chaparral83.1431	
UCBG     	32	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Oak Woodland83.1431	
UCBG     	900	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGMather Redwood Grove83.1431	
UCBG     	901	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGMather Redwood Grove83.1431	
UCBG     	35	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Hammond83.1431	
UCBG     	70B	Quercus parvula Greene var. shrevei	Raiche, R.	1982	Unspecified	UCBGCalifornian-S Coast Scrub83.1399	
UCBG     	37	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Creek Access83.1431	
UCBG     	73	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Island Oak83.1431	
UCBG     	26B	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Chaparral83.1431	
UCBG     	26A	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Chaparral83.1431	
UCBG     	72	Quercus agrifolia Nee	Raiche, R. & K. Zadnik	1985	Unspecified	UCBGCalifornian-Channel Isld.85.1262	
UCBG     	14	Quercus vaccinifolia Kellogg	Raiche, R.	1986	Unspecified	UCBGCalifornian-Klamath Reg.86.1570	
UCBG     	9	Quercus parvula Greene	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Channel Isld.87.0751	
UCBG     	163	Quercus oblongifolia Torr.	K. Zadnik	1987	Unspecified	UCBGNew World Desert87.1163	
UCBG     	30	Quercus garryana Douglas ex Hook. var. breweri (Engelm.) Jeps.	Raiche, R., K. Zadnik & M. Walstrom	1987	Unspecified	UCBGCalifornian-Yellow Pine87.1220	
UCBG     	11	Quercus douglasii Hook. & Arn.	Raiche, R. & K. Zadnik	1987	Unspecified	UCBGCalifornian-Blue Oak Sav.87.1598	
UCBG     	35	Quercus douglasii Hook. & Arn.	Raiche, R. & K. Zadnik	1987	Unspecified	UCBGCalifornian-Hammond87.1598	
UCBG     	10	Quercus chrysolepis Liebm.	Raiche, R.	1987	Unspecified	UCBGCalifornian-Yellow Pine W87.1604	
