spec_id	specno	ucmp_coll	class	genus	species	subspecies	other_id	type_status	period	epoch	loc_ID_num	loc_name	county_std	state_prov_std	country_std	cont_ocean	pic	access	

PBCL106	BCL106	P	Magnoliopsida	Peraphyllum	ramosissimum						CL95	Harney Co.	Harney County	Oregon	United States	North America		yes
P43	43	P	Magnoliopsida	Fagus	pacifica			holotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V43	43	V	Mammalia	Promerycochoerus	superbus				Tertiary		V76114	John Day Arikareean General		Oregon	United States	North America		yes
P44	44	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
P45	45	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V45	45	V	Mammalia						Tertiary	Oligocene	-818	Turtle Cove 1	Grant County	Oregon	United States	North America		yes
P46	46	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V46	46	V	Mammalia	Hypertragulus					Tertiary	Oligocene	-829	Clarno Ferry	Wheeler County	Oregon	United States	North America		yes
P47	47	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V47	47	V	Mammalia						Tertiary		-828	Naylan 1	Grant County	Oregon	United States	North America		yes
P48	48	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V48	48	V	Mammalia	Agriochoerus	guyotianus				Tertiary	Oligocene	-898	Logan Butte 1	Crook County	Oregon	United States	North America		yes
P49	49	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V49	49	V	Mammalia	Mesocyon					Tertiary	Oligocene	V76102	John Day Whitneyan General		Oregon	United States	North America	0000 0000 0807 1019	yes
P50	50	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V50	50	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P51	51	P	Magnoliopsida	Quercus	clarnensis			homeotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V51	51	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P52	52	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V52	52	V	Mammalia				Oreodonta		Tertiary	Oligocene	V6518	John Day General		Oregon	United States	North America		yes
P53	53	P	Magnoliopsida	Quercus	clarnensis			plesiotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V53	53	V	Mammalia	Miohippus					Tertiary	Oligocene	-824	JCM 6		Oregon	United States	North America		yes
