MBIO5666	Kalotermes		Arthropoda	Insecta	Isoptera	Kalotermitidae	Kalotermes			Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				379	WB_1077	5666
MBIO5667	Kalotermes		Arthropoda	Insecta	Isoptera	Kalotermitidae	Kalotermes			Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				379	WB_1078	5667
MBIO5668	Kalotermes		Arthropoda	Insecta	Isoptera	Kalotermitidae	Kalotermes			Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				379	WB_1079	5668
MBIO5669			Arthropoda	Arachnida	Acarina					Anne Duplouy	2006	Pihaena		0	-149.82667	-17.49028				380	WB_1080	5669
MBIO5670			Arthropoda	Arachnida	Acarina					Anne Duplouy	2006	Pihaena		0	-149.82667	-17.49028				380	WB_1081	5670
MBIO5671			Arthropoda	Arachnida	Acarina					Anne Duplouy	2006	Pihaena		0	-149.82667	-17.49028				380	WB_1082	5671
MBIO5672			Arthropoda	Insecta	Orthoptera	Gryllidae				Anne Duplouy	2006	Close to Hunter's bungalow (Gump station-Pihaena)		0	-149.82869	-17.49119				381	WB_1083	5672
MBIO5673			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1084	5673
MBIO5674	Spirobolus		Arthropoda	Myriapoda	Diplopoda		Spirobolus			Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1085	5674
MBIO5675			Arthropoda	Malacostraca	Isopoda					Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1086	5675
MBIO5676	Cyllene crinicomis		Arthropoda	Insecta	Coleoptera	Cerambycidae	Cyllene	crinicomis		Anne Duplouy	2006	Opunohu valley, Marae tetiiroa		0	-149.82983	-17.53681				382	WB_1087	5676
MBIO5677	Ceresium unicolor		Arthropoda	Insecta	Coleoptera	Cerambycidae	Ceresium	unicolor		Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1088	5677
MBIO5678	Adoretus sinicus		Arthropoda	Insecta	Coleoptera	Scarabaeidae	Adoretus	sinicus		Anne Duplouy	2006	Anne's place (Pihaena)		0	-149.82967	-17.49153				333	WB_1089	5678
MBIO5679			Arthropoda	Insecta	Hemiptera	Aphididae				Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1090	5679
MBIO5680			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1091	5680
MBIO5681			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1092	5681
